Datetime,Close,High,Low,Open,Volume,H-L,H-PC,L-PC,TR,ATR,basic_upper,basic_lower,final_upper,final_lower,supertrend,trend
2026-01-23 03:45:00+00:00,25275.30078125,25344.900390625,25249.55078125,25338.25,0,95.349609375,24.451171875,70.8984375,95.349609375,37.13592761171622,25408.633368772647,25185.817803102353,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 03:50:00+00:00,25320.099609375,25323.30078125,25259.900390625,25274.80078125,0,63.400390625,48.0,15.400390625,63.400390625,39.7623739130446,25410.887707676633,25172.313464198367,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 03:55:00+00:00,25344.599609375,25344.599609375,25311.349609375,25320.44921875,0,33.25,24.5,8.75,33.25,39.11113652174014,25445.30801894022,25210.64119980978,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:00:00+00:00,25315.400390625,25345.349609375,25311.849609375,25344.19921875,0,33.5,0.75,32.75,33.5,38.55002286956613,25444.2496779837,25212.9495407663,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:05:00+00:00,25304.5,25319.25,25295.44921875,25315.94921875,0,23.80078125,3.849609375,19.951171875,23.80078125,37.07509870760951,25418.57490549783,25196.12431325217,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:10:00+00:00,25285.69921875,25318.150390625,25283.94921875,25305.5,0,34.201171875,13.650390625,20.55078125,34.201171875,36.78770602434856,25411.412922760544,25190.686686614456,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:15:00+00:00,25300.25,25312.55078125,25267.69921875,25287.599609375,0,44.8515625,26.8515625,18.0,44.8515625,37.59409167191371,25402.907275015743,25177.342724984257,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:20:00+00:00,25281.400390625,25303.150390625,25281.400390625,25300.25,0,21.75,2.900390625,18.849609375,21.75,36.009682504722335,25400.304438139166,25184.246343110834,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:25:00+00:00,25290.94921875,25301.900390625,25280.30078125,25281.5,0,21.599609375,20.5,1.099609375,21.599609375,34.5686751917501,25394.80661151275,25187.39456036225,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:30:00+00:00,25287.94921875,25304.05078125,25263.5,25292.30078125,0,40.55078125,13.1015625,27.44921875,40.55078125,35.16688579757509,25389.276048017724,25178.274733232276,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:35:00+00:00,25277.650390625,25308.650390625,25276.599609375,25287.5,0,32.05078125,20.701171875,11.349609375,32.05078125,34.85527534281758,25397.190826028454,25188.059173971546,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:40:00+00:00,25281.69921875,25291.599609375,25278.25,25278.650390625,0,13.349609375,13.94921875,0.599609375,13.94921875,32.76466968353582,25383.21881373811,25186.63079563689,25370.07070290227,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:45:00+00:00,25261.349609375,25288.05078125,25251.55078125,25280.55078125,0,36.5,6.3515625,30.1484375,36.5,33.13820271518224,25369.215389395547,25170.386173104453,25369.215389395547,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:50:00+00:00,25264.19921875,25268.349609375,25258.099609375,25261.69921875,0,10.25,7.0,3.25,10.25,30.849382443664012,25355.772756705992,25170.676462044008,25355.772756705992,25227.37177775261,25227.37177775261,1.0
2026-01-23 04:55:00+00:00,25291.44921875,25295.900390625,25260.80078125,25265.150390625,0,35.099609375,31.701171875,3.3984375,35.099609375,31.27440513679761,25372.173801347893,25184.527370527107,25355.772756705992,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:00:00+00:00,25303.80078125,25320.80078125,25286.69921875,25291.69921875,0,34.1015625,29.3515625,4.75,34.1015625,31.55712087311785,25398.421362619352,25209.078637380648,25355.772756705992,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:05:00+00:00,25300.099609375,25315.69921875,25298.94921875,25303.55078125,0,16.75,11.8984375,4.8515625,16.75,30.076408785806066,25397.55344510742,25217.09499239258,25355.772756705992,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:10:00+00:00,25293.349609375,25310.19921875,25286.44921875,25301.349609375,0,23.75,10.099609375,13.650390625,23.75,29.44376790722546,25386.655522471676,25209.992915028324,25355.772756705992,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:15:00+00:00,25275.94921875,25300.400390625,25270.44921875,25293.25,0,29.951171875,7.05078125,22.900390625,29.951171875,29.494508304002913,25373.908329599508,25196.941279775492,25355.772756705992,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:20:00+00:00,25278.05078125,25287.400390625,25273.5,25275.849609375,0,13.900390625,11.451171875,2.44921875,13.900390625,27.935096536102623,25364.255484920806,25196.644905704194,25355.772756705992,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:25:00+00:00,25277.55078125,25285.099609375,25269.69921875,25278.25,0,15.400390625,7.048828125,8.3515625,15.400390625,26.681625944992362,25357.44429189748,25197.35453622752,25355.772756705992,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:30:00+00:00,25265.80078125,25285.55078125,25265.19921875,25277.650390625,0,20.3515625,8.0,12.3515625,20.3515625,26.048619600493126,25353.52085880148,25197.22914119852,25353.52085880148,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:35:00+00:00,25274.150390625,25280.0,25261.05078125,25265.0,0,18.94921875,14.19921875,4.75,18.94921875,25.338679515443815,25346.54142917133,25194.50935207867,25346.54142917133,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:40:00+00:00,25284.900390625,25293.599609375,25273.5,25274.25,0,20.099609375,19.44921875,0.650390625,20.099609375,24.814772501399435,25357.9941221917,25209.1054871833,25346.54142917133,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:45:00+00:00,25265.25,25289.900390625,25264.849609375,25285.30078125,0,25.05078125,5.0,20.05078125,25.05078125,24.838373376259494,25351.890120128777,25202.859879871223,25346.54142917133,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:50:00+00:00,25264.75,25275.94921875,25254.80078125,25265.099609375,0,21.1484375,10.69921875,10.44921875,21.1484375,24.469379788633542,25338.7831393659,25191.9668606341,25338.7831393659,25227.37177775261,25227.37177775261,1.0
2026-01-23 05:55:00+00:00,25275.30078125,25278.19921875,25263.30078125,25265.900390625,0,14.8984375,13.44921875,1.44921875,14.8984375,23.512285559770188,25341.28685667931,25200.21314332069,25338.7831393659,25227.37177775261,25227.37177775261,1.0
2026-01-23 06:00:00+00:00,25256.400390625,25279.349609375,25255.599609375,25275.849609375,0,23.75,4.048828125,19.701171875,23.75,23.536057003793168,25338.08278038638,25196.86643836362,25338.08278038638,25227.37177775261,25227.37177775261,1.0
